"folder";"sizeOriginal";"sizeDaff";"evolution";"patch";"quality"
6718;151344;48982;296;23;150
6719;409366;73849;367;118;207
6721;60689;57292;38;34;18
6723;1481062;1788962;15340;11789;1196
6727;401677;201340;625;166;302
6729;1555470;732195;12302;11115;1782
6734;44506;17326;22;24;15
6735;711499;322931;933;179;393
6740;601050;166668;981;127;491
6741;264003;116336;349;65;208
6742;901054;442535;1466;235;578
6743;569377;321637;253;328;115
6745;18814;6827;14;12;8
6749;262451;80044;540;93;330
6750;638504;375324;1286;141;479
6757;413370;111577;358;51;200
6758;329924;66552;165;572;84
6759;348891;144069;1040;106;513
6760;510691;131655;499;125;240
6761;182386;94179;323;54;144
6764;172761;59857;132;213;42
6770;391276;76574;325;156;217
6775;176722;79323;421;49;287
6776;256643;84213;165;63;148
6777;382037;145702;710;107;373
6778;664464;282465;1043;185;448
6782;271994;81817;273;62;187
6783;425032;113081;1118;104;551
6786;455925;188171;849;117;434
6796;211256;69638;410;28;215
6798;2658;4082;7;7;7
6799;274830;65423;524;35;294
6800;138952;37062;68;106;36
6801;168287;80276;322;97;167
6804;262602;62320;427;60;253
6807;325659;84923;806;107;412
6824;132615;61007;202;46;96
6827;437707;126752;515;139;250
6828;433079;148229;922;113;500
6829;2348458;597676;4342;15651;1435
6831;621483;171192;1211;143;652
6833;519140;197459;664;175;274
6835;281854;83943;794;92;410
6838;1186857;394473;982;203;409
6839;714629;304002;949;247;420
6842;313145;155149;482;104;212
6845;273642;101866;449;124;287
6848;122908;55000;157;28;78
6850;334431;132596;490;108;300
6851;1191741;314239;1224;3088;483
6853;265498;125571;456;97;243
6858;8940;13716;13;8;6
6861;4067255;871517;16374;4569;6294
6863;337955;89102;768;97;422
6864;226587;105296;461;94;288
6869;475403;165885;822;151;379
6871;2412483;1704420;10982;3592;2785
6879;381981;166569;601;108;299
6880;360093;144966;511;132;309
6881;476307;125266;1017;117;511
6882;268933;67891;149;433;74
6884;309070;99713;847;38;388
6885;648203;142646;1371;121;726
6887;1225355;146135;1459;494;875
6889;381893;135890;904;102;485
6891;2293;2546;6;6;4
6892;606793;118567;1315;155;676
6897;474576;160437;1046;151;543
6899;740464;86585;415;895;371
6900;43327;12846;23;23;16
6902;412087;137621;1081;129;579
6903;520091;149997;1409;113;707
6904;1087333;1124152;3000;2614;271
6910;290133;80771;101;319;65
6912;605115;115949;1122;144;562
6915;68190;21875;30;41;21
6918;6372084;794472;15923;205413;15444
6919;201134;52282;82;248;53
6920;612119;250167;947;123;536
6921;390628;117735;1020;106;536
6922;45347;15043;26;29;18
6923;227005;93728;454;129;243
6928;426608;212776;845;92;342
6929;89361;22258;36;62;29
6932;705536;254261;1069;181;637
6936;91841;27892;41;67;26
6937;278507;110845;682;69;294
6938;386638;172727;446;134;244
6940;606683;327762;1357;153;562
6941;3694111;676672;13801;3901;5618
6942;610418;163093;1016;141;587
6951;493614;192543;1137;151;566
6958;4533423;680930;3415;62292;2988
6960;196352;49021;79;233;51
6962;527283;286169;885;115;373
6963;468311;142042;1240;117;621
6970;612178;295160;917;205;410
6972;558701;176019;1296;162;654
6973;635530;367688;809;1526;199
6977;212010;22704;138;64;108
6982;225893;102055;522;109;317
6987;1061989;169258;1430;342;683
6992;686127;205263;1074;119;555
6995;1048522;242240;1163;5935;392
7000;102751;28552;140;19;74
7001;14270;4338;20;13;15
7004;33162;15915;21;16;12
7005;726290;172787;1255;172;661
7011;232779;105026;443;92;252
7013;417318;280024;668;161;263
7015;377521;74264;624;126;316
7017;467947;179034;670;173;336
7018;2332049;251169;1033;1479;1011
7019;408823;98804;1009;132;552
7020;3769946;681059;13564;3784;5433
7025;273477;105703;670;93;350
7028;464489;144807;942;160;492
7030;1400358;2176955;15273;4435;483
7032;160867;67903;234;48;132
7043;403588;110689;1017;104;527
7044;134192;40395;61;111;35
7046;272501;133937;503;130;302
7055;398823;120487;1141;103;579
7057;388659;95929;909;101;499
7059;486188;185097;700;152;310
7061;1009936;263083;1089;307;546
7067;422606;123430;990;119;548
7071;43765;14598;24;25;18
7072;303305;110216;583;64;391
7074;3072;4918;9;5;6
7075;6701;5814;12;7;6
7077;365594;128267;481;140;276
7080;6601;2835;14;10;9
7081;901014;267997;1046;262;423
7085;326710;84716;394;126;269
7087;384591;199908;674;87;314
7089;417418;642980;1069;411;90
7093;14307;6898;14;8;8
7095;361087;89530;464;132;316
7096;195444;67131;350;31;171
7097;68520;24549;33;40;20
7101;577300;217133;1390;152;663
7103;371327;125837;491;102;246
7104;175859;46200;89;212;64
7116;294452;134127;526;103;300
7120;739758;196079;1212;172;611
7121;669196;299627;1089;110;463
7127;1388610;189269;670;8539;461
7131;740464;86585;371;915;375
7135;342385;85042;774;96;436
7139;239463;78833;473;52;285
7144;169083;77257;250;80;171
7145;140351;53164;182;44;131
7146;488043;121034;1153;108;600
7157;263013;75993;636;74;340
7158;31549;13827;29;26;17
7162;392210;85473;897;42;440
7164;47566;20097;24;27;15
7165;50226;15593;22;32;16
7166;532438;136545;1194;114;591
7174;159205;53653;235;27;102
7181;2564360;1315128;11001;3434;3175
7182;1423720;275707;2345;19731;1328
7183;510937;239062;531;109;236
7184;159593;502866;2373;582;134
7190;550235;131792;1294;113;671
7193;453149;143177;1138;114;579
7194;391651;131312;791;116;457
7195;484053;137937;1086;131;604
7196;211179;60110;90;287;56
7197;6705;9310;9;7;5
7200;497678;227073;1181;128;552
7201;245972;123493;521;98;327
7204;490240;122919;1023;143;541
7209;239728;76763;252;54;140
7211;305746;96689;533;110;321
7215;316064;69699;334;47;184
7217;808029;206624;1271;173;636
7218;557501;200677;1305;153;666
7219;1566072;2207909;10927;5260;550
7222;1783233;442084;1983;329;867
7225;371349;150460;481;85;244
7226;350807;170549;506;126;253
7227;393985;163669;666;58;312
7230;454654;135745;986;125;518
7232;395757;123064;987;107;500
7237;56750;22385;25;27;17
7238;1084167;270875;1627;516;724
7241;556230;224418;1184;160;602
7243;385126;109050;728;138;408
7249;1407432;2140464;14892;4505;464
7257;2270880;146801;3878;861;1934
7265;122417;34648;44;90;32
7267;499192;168772;705;127;422
7271;569437;132881;1790;90;836
7274;577566;129077;1000;131;503
7279;1272814;214024;1358;199;677
7280;422680;90616;1106;51;536
7284;387138;121520;723;101;422
7285;633699;108974;968;156;515
7287;177943;36524;77;178;43
